"Compound/Formulation","Species","Avg/Med Lifespan Change (%)","Max Lifespan Change (%)","Strain","Dosage","Significant?","Reference"
"Metformin","Caenorhabditis elegans","24.2","","N2","100 mM","Y","31474368"
"Beta-Guanidinopropionic acid","Drosophila melanogaster","-54","","w1118","900 mM","Y","34141906"
"Beta-Guanidinopropionic acid","Drosophila melanogaster","-63","","w1118","900 mM","Y","34141906"
"Carnosine","Saccharomyces cerevisiae","25","","BY4742","20 mM","Y","27040824"
"Resveratrol","Saccharomyces cerevisiae","29.93","","K6001","10 μM","Y","31281576"
"Cucurbitacin B","Saccharomyces cerevisiae","28.06","","K6001","0.1 μM","Y","31281576"
"Cucurbitacin B","Saccharomyces cerevisiae","28.78","","K6001","0.3 μM","Y","31281576"
"Cucurbitacin B","Saccharomyces cerevisiae","38.13","","K6001","1 µM","Y","31281576"
"Nicotinamide riboside","Mus musculus","0","","UM-HET3","1000 ppm","N","33788371"
"Nicotinamide riboside","Mus musculus","-3","","UM-HET3","1000 ppm","N","33788371"
"Candesartan cilexetil","Mus musculus","1","","UM-HET3","30 ppm","N","33788371"
"Candesartan cilexetil","Mus musculus","4","","UM-HET3","30 ppm","N","33788371"
"Geranylgeranylacetone","Mus musculus","2","","UM-HET3","600 ppm","N","33788371"
"Geranylgeranylacetone","Mus musculus","5","","UM-HET3","600 ppm","N","33788371"
"MIF098","Mus musculus","-1","","UM-HET3","240 ppm","N","33788371"
"MIF098","Mus musculus","4","","UM-HET3","240 ppm","N","33788371"
"17‐α‐estradiol","Mus musculus","19","","UM-HET3","14.4 ppm","Y","33788371"
"17‐α‐estradiol","Mus musculus","11","","UM-HET3","14.4 ppm","Y","33788371"
"Selenomethionine","Saccharomyces cerevisiae","30","","BY4741/BY4742","0.00061%","Y","33783357"
"N-Acetyl Cysteine","Caenorhabditis elegans","-10.7","","N2","5 mM","Y","34267196"
"N-acetyl-L-cysteine","Caenorhabditis elegans","-27.2","","N2","15 mM","Y","34267196"
"Glutathione","Caenorhabditis elegans","-13.9","","N2","5 mM","Y","34267196"
"N-acetyl serine","Caenorhabditis elegans","-1.34","","N2","5 mM","N","34267196"
"Acivicin","Caenorhabditis elegans","1.46","","N2","75 μM","N","34267196"
"Diamide","Caenorhabditis elegans","1.74","","N2","2.5 mM","N","34267196"
"Diamide","Caenorhabditis elegans","-24.88","","N2","5 mM","Y","34267196"
"Kinetin","Caenorhabditis elegans","21","","N2","200 µM","Y","29255944"
"N6-isopentenyladenine","Caenorhabditis elegans","-2","","N2","200 µM","N","29255944"
"N6-isopentenyladenine","Caenorhabditis elegans","-2","","N2","100 µM","N","29255944"
"N6-benzyladenine","Caenorhabditis elegans","3","","N2","100 µM","N","29255944"
"N6-benzyladenine","Caenorhabditis elegans","0","","N2","50 µM","N","29255944"
"ortho-topolin","Caenorhabditis elegans","3","","N2","100 µM","N","29255944"
"para-topolin","Caenorhabditis elegans","8","","N2","100 µM","Y","29255944"
"para-topolin","Caenorhabditis elegans","5","","N2","50 µM","N","29255944"
"trans-zeatin","Caenorhabditis elegans","-9","","N2","200 µM","N","29255944"
"cis-zeatin","Caenorhabditis elegans","-4","","N2","200 µM","N","29255944"
"cis-zeatin","Caenorhabditis elegans","-2","","N2","50 µM","N","29255944"
"cis-zeatin","Caenorhabditis elegans","-3","","N2","100 µM","N","29255944"
"dihydrozeatin","Caenorhabditis elegans","-1","","N2","100 µM","N","29255944"
"Isorhamnetin","Podospora anserina","17.5","","s","300 μM","Y","29780405"
"dihydrozeatin","Caenorhabditis elegans","0","","N2","50 µM","N","29255944"
"Fisetin","Mus musculus","","","","500 mg/kg","Y","30279143"
"Glycine","Mus musculus","6.2","","","8%","Y","30916479"
"Aspirin","Mus musculus","-1","","","60 ppm","N","30916479"
"DNIC-1a","Caenorhabditis elegans","11","","N2","10 µM","Y","29858679"
"Glycine","Mus musculus","3.7","","","8%","Y","30916479"
"Aspirin","Mus musculus","1","","","200 ppm","N","30916479"
"Inulin","Mus musculus","-2","","","600 ppm","N","30916479"
"Inulin","Mus musculus","1","","","600 ppm","N","30916479"
"TM5441","Mus musculus","-4","","","60 ppm","N","30916479"
"Aspirin","Mus musculus","1","","","200 ppm","N","30916479"
"Aspirin","Mus musculus","1","","","60 ppm","N","30916479"
"TM5441","Mus musculus","0","","","60 ppm","N","30916479"
"Alpha-ketoglutarate","Drosophila melanogaster","8.54","","WDah","5 µM","Y","31242135"
"Coix seed oil","Caenorhabditis elegans","8.89","","N2","5 mg/mL","N","31960183"
"Coix seed oil","Caenorhabditis elegans","20.33","","N2","0.5 mg/mL","N","31960183"
"Coix seed oil","Caenorhabditis elegans","11.94","","N2","10 mg/mL","N","31960183"
"FW1251","Caenorhabditis elegans","11.17","","N2","50 µM","Y","32566245"
"FW1251","Caenorhabditis elegans","8.94","","N2","250 µM","Y","32566245"
"FW1256","Caenorhabditis elegans","0.55","","N2","10 µM","N","32566245"
"FW1256","Caenorhabditis elegans","16.94","","N2","150 µM","Y","32566245"
"FW1256","Caenorhabditis elegans","41.01","","N2","250 µM","Y","32566245"
"FW1256","Caenorhabditis elegans","33.8","","N2","500 µM","Y","32566245"
"CASIN","Mus musculus","10.12","","C57BL/6","25 mg/kg","Y","32755011"
"myo-inositol","Caenorhabditis elegans","4","","N2","30 mM","N","32901024"
"Canagliflozin","Mus musculus","14","","UM-HET3","30 mg/kg BW","Y","32990681"
"Canagliflozin","Mus musculus","1","","UM-HET3","30 mg/kg BW","N","32990681"
"Metformin","Mus musculus","-1.53","","C57BL/6","100 mg/kg/day","Y","33585467"
"alpha-ketoglutaric acid","Drosophila melanogaster","7.74","","Canton-S","20 μM","Y","33008901"
"5-Hydroxy-L-tryptophan","Drosophila melanogaster","1.17","","Canton-S","200 μM","N","33008901"
"Haloperidol","Drosophila melanogaster","8.82","","Canton-S","20 μM","Y","33008901"
"LY165_163","Drosophila melanogaster","5.71","","Canton-S","20 μM","Y","33008901"
"Mianserin","Drosophila melanogaster","-1.61","","Canton-S","200 μM","N","33008901"
"Mianserin","Drosophila melanogaster","6","","Canton-S","20 μM","Y","33008901"
"Haloperidol","Drosophila melanogaster","3.9","","Canton-S","200 μM","N","33008901"
"Norcantharidin","Drosophila melanogaster","4.28","","Canton-S","20 μM","N","33008901"
"Octoclothepin/Loxapine","Drosophila melanogaster","-3.84","","Canton-S","200 μM","N","33008901"
"Promethazine-HCL","Drosophila melanogaster","10.91","","Canton-S","20 μM","Y","33008901"
"Rapamycin","Drosophila melanogaster","4.29","","Canton-S","20 μM","N","33008901"
"Thioridazine-HCL","Drosophila melanogaster","-3.57","","Canton-S","200 μM","N","33008901"
"Amoxapine","Drosophila melanogaster","-0.09","","Canton-S","20 μM","N","33008901"
"Ceftriaxone disodium salt","Drosophila melanogaster","-1.89","","Canton-S","20 μM","N","33008901"
"Nicotinamide mononucleotide","Drosophila melanogaster","0","","Canton-S","20 μM","N","33008901"
"Chlorophenyalanine","Drosophila melanogaster","11.86","","Canton-S","200 μM","Y","33008901"
"Peroglide methanesulfonate","Drosophila melanogaster","-1.36","","Canton-S","20 μM","N","33008901"
"Phenyl furoxancarbonitrile","Drosophila melanogaster","7.69","","Canton-S","20 μM","Y","33008901"
"Phenyl furoxancarbonitrile","Drosophila melanogaster","3.98","","Canton-S","200 μM","N","33008901"
"PPG","Drosophila melanogaster","5.87","","Canton-S","200 μM","N","33008901"
"Antimycin A","Drosophila melanogaster","-78.27","","Canton-S","200 μM","Y","33008901"
"Antimycin A","Drosophila melanogaster","-50.26","","Canton-S","20 μM","Y","33008901"
"Astemizole","Drosophila melanogaster","-2.73","","Canton-S","200 μM","N","33008901"
"Benzethonium","Drosophila melanogaster","0.04","","Canton-S","20 μM","N","33008901"
"Benzethonium","Drosophila melanogaster","-1.17","","Canton-S","200 μM","N","33008901"
"Berberine A","Drosophila melanogaster","-1.17","","Canton-S","200 μM","N","33008901"
"Cardamonin","Drosophila melanogaster","-1.48","","Canton-S","20 μM","N","33008901"
"Cardamonin","Drosophila melanogaster","2.81","","Canton-S","200 μM","N","33008901"
"Curcumin","Drosophila melanogaster","2.41","","Canton-S","20 μM","N","33008901"
"Deguelin","Drosophila melanogaster","2.78","","Canton-S","20 μM","N","33008901"
"Deguelin","Drosophila melanogaster","-31.58","","Canton-S","200 μM","Y","33008901"
"Dequalinium","Drosophila melanogaster","-1.92","","Canton-S","200 μM","N","33008901"
"Epoxy Pregnenolone","Drosophila melanogaster","4.74","","Canton-S","200 μM","N","33008901"
"Ethopropazine","Drosophila melanogaster","-2.29","","Canton-S","200 μM","N","33008901"
"Epoxy Pregnenolone","Drosophila melanogaster","6.4","","Canton-S","20 μM","N","33008901"
"Gedunin","Drosophila melanogaster","4.48","","Canton-S","200 μM","N","33008901"
"Gramicidin","Drosophila melanogaster","4.46","","Canton-S","20 μM","N","33008901"
"Gramicidin","Drosophila melanogaster","-0.41","","Canton-S","200 μM","N","33008901"
"Methoxycatechol","Drosophila melanogaster","4.41","","Canton-S","200 μM","N","33008901"
"MG624","Drosophila melanogaster","-0.61","","Canton-S","20 μM","N","33008901"
"MG624","Drosophila melanogaster","4.51","","Canton-S","200 μM","N","33008901"
"Nicolsamide","Drosophila melanogaster","-7.45","","Canton-S","20 μM","Y","33008901"
"Nicolsamide","Drosophila melanogaster","7.94","","Canton-S","200 μM","N","33008901"
"Nisoldipine","Drosophila melanogaster","1.01","","Canton-S","200 μM","N","33008901"
"Phenelzine","Drosophila melanogaster","-1.18","","Canton-S","20 μM","N","33008901"
